Label ID;date;site_name ;City;Site_type ;Location_in_network;Collector_type;
MTL_CDN-05_grb_01-03-2021_RAW_2-1339244_S197_L002;01-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Grab;
MTL_CDN-05_grb_02-03-2021_RAW_2-1339302_S205_L002;02-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Grab;
MTL_CDN-05_grb_03-03-2021_RAW_2-1339310_S213_L002;03-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Grab;
MTL_CDN-05_grb_04-03-2021_RAW_2-1339318_S221_L002;04-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Grab;
MTL_CDN-05_grb_05-03-2021_RAW_2-1339326_S229_L002;05-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Grab;
MTL_CDN-05_grb_08-03-2021_RAW_2-1339334_S237_L002;08-03-2021;05-CoteDNeige;Montreal;Residential;Cote De Neige;Grab;
MTL_VSL-11_cpTP24h_01-03-2021_RAW_2-1339243_S196_L002;01-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Composite;
MTL_VSL-11_cpTP24h_02-03-2021_RAW_2-1339301_S204_L002;02-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Composite;
MTL_VSL-11_cpTP24h_03-03-2021_RAW_2-1339309_S212_L002;03-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Composite;
MTL_VSL-11_cpTP24h_04-03-2021_RAW_2-1339317_S220_L002;04-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Composite;
MTL_VSL-11_cpTP24h_05-03-2021_RAW_2-1339325_S228_L002;05-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Composite;
MTL_VSL-11_cpTP72h_08-03-2021_RAW_2-1339333_S236_L002;08-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Composite;
MTL_VSL-11_grb_01-03-2021_RAW_2-1339242_S195_L002;01-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Grab;
MTL_VSL-11_grb_02-03-2021_RAW_2-1339250_S203_L002;02-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Grab;
MTL_VSL-11_grb_03-03-2021_RAW_2-1339308_S211_L002;03-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Grab;
MTL_VSL-11_grb_04-03-2021_RAW_2-1339316_S219_L002;04-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Grab;
MTL_VSL-11_grb_05-03-2021_RAW_2-1339324_S227_L002;05-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Grab;
MTL_VSL-11_grb_08-03-2021_RAW_2-1339332_S235_L002;08-03-2021;11-VSTL-ind;Montreal;Industrial zone;Ville St-Laurent;Grab;
