Sample;Sampling_date;Sampling_site;Ct
MTL_8-2_cpFP24h_Raw;2021-05-09;8.2-MtlNord-Est;NA
MTL_11_cpTP24h_Raw;2021-05-10;11-VSTL-ind;NA
MTL_05_cpTP24h_Raw;2021-05-10;05-CoteDNeige;NA
MTL_16_cpTP24h_Raw;2021-05-10;16-Bordeau;NA
MTL_12_cpTP24h_Raw;2021-05-10;12-Anjou-ind;NA
MTL_8-1_cpFP24h_Raw;2021-05-10;8.1-MtlNord-Est;NA
MTL_8-2_cpFP24h_Raw;2021-05-10;8.2-MtlNord-Est;NA
MTL-WW-N-1-NEG;2020-02-29;MTL-North;NA
MTL-WW-N-2;2020-03-16;MTL-North;30.75
MTL-WW-N-3;2020-03-21;MTL-North;30.49
MTL-WW-N-4;2020-03-28;MTL-North;28.32
MTL-WW-N-5;2020-04-03;MTL-North;29.48
MTL-WW-N-6;2020-04-04;MTL-North;28.06
MTL-WW-N-7;2020-04-06;MTL-North;27.92
MTL-WW-N-8;2020-04-09;MTL-North;29.33
MTL-WW-N-9;2020-04-10;MTL-North;28.45
MTL-WW-N-10;2020-04-11;MTL-North;28.49
MTL-WW-N-11;2020-04-12;MTL-North;28.37
MTL-WW-N-12;2020-04-30;MTL-North;28.31
MTL-WW-N-13;2020-05-01;MTL-North;29.73
MTL-WW-N-14;2020-06-18;MTL-North;32.10
MTL-WW-N-15-NEG;2020-06-22;MTL-North;NA
MTL-WW-N-16;2020-07-06;MTL-North;32.59
MTL-WW-N-17;2020-08-24;MTL-North;32.74
MTL-WW-N-18;2020-08-27;MTL-North;32.44
MTL-WW-N-19;2020-08-31;MTL-North;32.56
MTL-WW-N-20;2020-09-03;MTL-North;32.98
MTL-WW-N-21;2020-09-07;MTL-North;33.10
MTL-WW-N-22;2020-09-10;MTL-North;32.60
MTL-WW-N-23;2020-09-14;MTL-North;31.30
MTL-WW-N-24;2020-09-17;MTL-North;30.59
MTL-WW-N-25;2020-09-21;MTL-North;31.14
MTL-WW-N-26;2020-09-28;MTL-North;29.88
MTL-WW-N-27;2020-10-05;MTL-North;28.99
MTL-WW-N-28;2020-10-12;MTL-North;30.02
MTL-WW-N-29;2020-10-19;MTL-North;30.87
MTL-WW-N-30;2020-10-22;MTL-North;30.81
MTL-WW-N-31;2020-11-02;MTL-North;29.82
MTL-WW-N-32;2020-11-05;MTL-North;29.86
MTL-WW-N-33;2020-11-09;MTL-North;30.00
MTL-WW-N-34;2020-11-16;MTL-North;30.98
OTT-OTHERS-N-1;NA;OTTAWA;30.55
OTT-OTHERS-N-2;NA;OTTAWA;35.30
OTT-OTHERS-N-3;NA;OTTAWA;NA
OTT-OTHERS-N-4;NA;OTTAWA;32.91
OTT-OTHERS-N-5;NA;OTTAWA;37.27
OTT-OTHERS-N-6;NA;OTTAWA;32.76
OTT-OTHERS-N-7;NA;OTTAWA;33.92
OTT-WW-N-8;2020-10-09;OTTAWA;34.10
OTT-WW-N-9;2020-10-10;OTTAWA;32.92
OTT-WW-N-10;2020-10-11;OTTAWA;34.99
OTT-WW-N-11;2020-10-12;OTTAWA;33.91
OTT-WW-N-12;2020-10-13;OTTAWA;33.42
OTT-WW-N-13;2020-10-14;OTTAWA;33.20
OTT-WW-N-14;2020-04-24;OTTAWA;36.83
OTT-WW-N-15;2020-05-05;OTTAWA;38.98
OTT-WW-N-16;2020-05-19;OTTAWA;38.28
OTT-WW-N-17;2020-06-02;OTTAWA;36.61
OTT-WW-N-18;2020-06-17;OTTAWA;35.77
OTT-WW-N-19;2020-06-30;OTTAWA;37.68
OTT-WW-N-20;2020-07-13;OTTAWA;36.04
OTT-WW-N-21;2020-07-27;OTTAWA;34.87
OTT-WW-N-22;2020-08-10;OTTAWA;37.42
OTT-WW-N-23;2020-08-22;OTTAWA;35.06
OTT-WW-N-24;2020-09-07;OTTAWA;34.33
OTT-WW-N-25;2020-09-21;OTTAWA;34.36
OTT-WW-N-26;2020-10-05;OTTAWA;33.61
OTT-WW-N-27;2020-10-19;OTTAWA;33.75
OTT-WW-N-28;2020-11-02;OTTAWA;33.45
OTT-WW-N-29;2020-11-16;OTTAWA;33.79
OTT-WW-N-30;2020-11-30;OTTAWA;32.96
OTT-WW-N-31;2020-12-14;OTTAWA;33.57
OTT-WW-N-32;2020-12-28;OTTAWA;33.70
OTT-OTHERS-N-33;NA;OTTAWA;34.54
QC-WW-N-1;2020-11-12;Quebec_City;32.08
QC-WW-N-2;2020-12-12;Quebec_City;31.92
QC-WW-N-3;2020-12-13;Quebec_City;31.97
QC-WW-N-4;2020-12-14;Quebec_City;31.3
QC-WW-N-5;2020-12-15;Quebec_City;33.31
QC-WW-N-6;2020-11-12;Quebec_City;34.44
QC-WW-N-7;2020-12-12;Quebec_City;33.71
QC-WW-N-8;2020-12-13;Quebec_City;33.46
QC-WW-N-9;2020-12-14;Quebec_City;33.5
QC-WW-N-10;2020-12-15;Quebec_City;34.26
QC-WW-N-11;2020-12-11;Quebec_City;35.95
QC-WW-N-12;2020-11-18;Quebec_City;36.3
QC-WW-N-13;2020-11-25;Quebec_City;35.7
QC-WW-N-14;2020-11-29;Quebec_City;34.88
QC-WW-N-15;2020-03-12;Quebec_City;35.32
QC-WW-N-16;2020-12-11;Quebec_City;35.14
QC-WW-N-17;2020-11-18;Quebec_City;34.21
QC-WW-N-18;2020-11-25;Quebec_City;33.64
QC-WW-N-19;2020-11-29;Quebec_City;33.02
QC-WW-N-20;2020-03-12;Quebec_City;33.36
QC-WW-N-21;2020-09-16;Quebec_City;32.09
QC-WW-N-22;2020-09-24;Quebec_City;32.07
QC-WW-N-23;2020-09-24;Quebec_City;32.70
MTL-WW-N-24;2020-12-31;Montreal_WWTP;30.02
MTL-WW-N-25;2020-12-31;Montreal_WWTP;34.06
MTL-WW-N-26;2021-04-01;Montreal_WWTP;31.31
MTL-WW-N-27;2021-04-01;Montreal_WWTP;30.32
QC-N-28-POS;NA;Quebec_City;NA
ON-Mining-N-29;2020-04-11;ON-Mining;32.60
QC_01_cpTP24h_Raw;2021-01-15;01-Int_East;27.505
